compliance_id,sap_component,resource_category,complexity,type_of_check,resource_name,command,pattern_string,expected_string,check_description,recommendation,set_by,sap_lens_category,sap_lens_topic,sap_lens_bp,sap_lens_bp_suggestion
87,ascs,SAP ABAP Cluster,high,command,Cluster_Configuration_ASCS,"pcs resource config | grep ""${sid}_ASCS${sap_instance_no}-monitor-interval"" | grep Slave | awk -F "" "" '{print $4}' | awk -F ""="" '{print $2}'",Slave,60s,What is ASCS Primary timeout ?,,AWS,Reliability,,,
88,ascs,SAP ABAP Cluster,high,command,Cluster_Configuration_ASCS,"pcs resource config | grep ""${sid}_ASCS${sap_instance_no}-monitor-interval"" | grep Master | awk -F "" "" '{print $4}' | awk -F ""="" '{print $2}'",Master,60s,What is ASCS Standby timeout ?,,AWS,Reliability,,,
89,ascs,SAP ABAP Cluster,high,command,Cluster_Configuration_ASCS,"pcs resource config | grep -B 1 -w ""${sid}VIP_ASCS${sap_instance_no}"" | grep routing_table | awk -F ""="" '{print $5}'",routing_table,rtb-011b9239478e82a02,AWS VPC Move IP routing_table,,AWS,Reliability,,,
90,ascs,SAP ABAP Cluster,high,command,Cluster_Configuration_ASCS,"pcs resource config | grep -B 1 -w ""${sid}VIP_ASCS${sap_instance_no}"" | grep ip= | awk -F ""="" '{print $4}' | awk -F "" "" '{print $1}'",ip=,192.168.0.90,Overly ASCS IP,,AWS,Security,,,
91,ers,SAP ABAP Cluster,high,command,Cluster_Status,"crm_mon --group-by-node -1 | grep sapascs: | awk -F "":"" '{print $2}'",sapascs,online,Status of ASCS Node,,AWS,Operational Excellence ,,,
92,ers,SAP ABAP Cluster,high,command,Cluster_Status,"crm_mon --group-by-node -1 | grep sapers: | awk -F "":"" '{print $2}'",sapers,online,Status of ERS Node,,AWS,Operational Excellence ,,,
93,ers,SAP ABAP Cluster,high,command,Cluster_Status,"crm_mon --group-by-node -1 | grep ""${sid}_ERS"" | awk -F "" "" '{print $4}'",ocf::heartbeat:SAPInstance,Started,Heart Beat of ERS instance?,,AWS,Operational Excellence ,,,
94,ers,SAP ABAP Cluster,high,command,Cluster_Status,"crm_mon --group-by-node -1 | grep ""${sid}_ASCS"" | awk -F "" "" '{print $4}'",ocf::heartbeat:SAPInstance,Started,Heart Beat of ASCS instance?,,AWS,Operational Excellence ,,,
95,ers,SAP ABAP Cluster,low,command,Cluster_Configuration_ERS,"pcs resource config | grep ""${sid}_ERS${sap_instance_no}-demote-interval-0s"" | awk -F "" "" '{print $4}' | awk -F ""="" '{print $2}'",demote,320s,What is ERS demote timeout ?,,AWS,Reliability,,,
96,ers,SAP ABAP Cluster,high,command,Cluster_Configuration_ERS,"pcs resource config | grep ""${sid}_ERS${sap_instance_no}-promote-interval"" | awk -F "" "" '{print $3}' | awk -F ""="" '{print $2}'",promote,320s,What is ERS promote timeout ?,,AWS,Reliability,,,
97,ers,SAP ABAP Cluster,high,command,Cluster_Configuration_ERS,"pcs resource config | grep ""${sid}_ERS${sap_instance_no}-reload-interval"" | awk -F "" "" '{print $3}' | awk -F ""="" '{print $2}'",reload,320s,What is ERS reload timeout ?,,AWS,Reliability,,,
98,ers,SAP ABAP Cluster,high,command,Cluster_Configuration_ERS,"pcs resource config | grep ""${sid}_ERS${sap_instance_no}-start-interval"" | awk -F "" "" '{print $3}' | awk -F ""="" '{print $2}'",start,180s,What is ERS start timeout ?,,AWS,Reliability,,,
99,ers,SAP ABAP Cluster,low,command,Cluster_Configuration_ERS,"pcs resource config | grep ""${sid}_ERS${sap_instance_no}-stop-interval"" | awk -F "" "" '{print $3}' | awk -F ""="" '{print $2}'",stop,180s,What is ERS stop timeout ?,,AWS,Reliability,,,
100,ers,SAP ABAP Cluster,high,command,Cluster_Configuration_ERS,"pcs resource config | grep ""${sid}_ERS${sap_instance_no}-monitor-interval"" | grep Slave | awk -F "" "" '{print $4}' | awk -F ""="" '{print $2}'",Slave,60s,What is ERS Primary timeout ?,,AWS,Reliability,,,
101,ers,SAP ABAP Cluster,high,command,Cluster_Configuration_ERS,"pcs resource config | grep ""${sid}_ERS${sap_instance_no}-monitor-interval"" | grep Master | awk -F "" "" '{print $4}' | awk -F ""="" '{print $2}'",Master,60s,What is ERS Standby timeout ?,,AWS,Reliability,,,
102,ers,SAP ABAP Cluster,high,command,Cluster_Configuration_ERS,"pcs resource config | grep -B 1 -w ""${sid}VIP_ERS${sap_instance_no}"" | grep routing_table | awk -F ""="" '{print $5}'",routing_table,rtb-011b9239478e82a02,AWS VPC Move IP routing_table,,AWS,Reliability,,,
103,ers,SAP ABAP Cluster,high,command,Cluster_Configuration_ERS,"pcs resource config | grep -B 1 -w ""${sid}VIP_ERS${sap_instance_no}"" | grep ip= | awk -F ""="" '{print $4}' | awk -F "" "" '{print $1}'",ip=,192.168.0.91,Overly ERS IP,,AWS,Security,,,
